고객ID,고객명,성별,연령,이메일,전화번호,가입일,지역,월소비금액
C001,김민수, 남 ,29.0,user1@gmail.com,01097871728,2021/01/01,서울,146024
C002,이영희,M,56.0,user2@gmail.com,01016988186,2021년 01월 08일,부산광역시,122169
C003,박철수,여자,19.0,없음,010-1395-8400,15-01-2021,서울 ,"219,584"
C004,최지은,M,20.0,없음,010-5360-3502,2021-01-22,서울,102162
C005,정현우,여,54.0,,010.3782.5946,2021-01-29,대전,240825
C006,강서연,,34.0,user6@gmail.com,010-9335-5980,2021-02-05,서울 ,29741
C007,윤태호,male,19.0,user7@naver.com,010.5491.8192,2021-02-12,인천,302915
C008,한미경,male,19.0,user8@gmail.com,010-6588-8651,2021-02-19,서울,247259
C009,오준석, 남 ,45.0,user9@naver.com,010-2167-2062,2021-02-26,서울,225602
C010,신예진, 남 ,40.0,없음,010-6161-6305,2021-03-05,서울,298269
C011,장동건,남자,,user11@gmail.com,,2021-03-12, 경기,
C012,송혜교,남자,49.0,user12@naver.com,010-5330-9010,2021년 03월 19일,부산광역시,"301,437"
C013,류현진,F,150.0,user13@naver.com,010-7731-8241,2021-03-26,,15912
C014,김태희,,18.0,user14@naver.com,010.8056.2542,02-04-2021,경기,"72,042"
C015,이승기,M,36.0,user15@gmail.com,01021917313,2021/04/09,서울,137518
C016,배수지,F,19.0,없음,010-7938-3681,2021년 04월 16일,서울,202609
C017,조인성, 남 ,61.0,user17@gmail.com,010-7172-6541,2021-04-23, 경기,251765
C018,한가인,여,43.0,,01023659691,2021/04/30,경기,127425
C019,공유,여,49.0,user19@naver.com,010.8494.5312,2021년 05월 07일,경기,218676
C020,전지현,남,23.0,,010-4141-8419,2021년 05월 14일,경기,124461
C021,이민호,남자,49.0,user21@gmail.com,010.7588.3923,,대구,99999999
C022,박보검,남,21.0,user22@naver.com,010-5186-9905,2021-05-28,인천,59333
C023,김소현,여,28.0,,010.5268.5748,2021-06-04,광주,107676
C024,서강준,남자,34.0,user24@naver.com,,11-06-2021,경기,64831
C025,남주혁,여,55.0,,010.4072.7530,2021년 06월 18일,서울 ,102412
C026,이종석,남자,41.0,user26@naver.com,010.1504.2214,25-06-2021,대구,305364
C027,박서준,,22.0,user27@naver.com,010.8576.1823,02-07-2021,서울,105060
C028,김유정,남,51.0,user28@naver.com,010-1133-3105,2021-07-09,인천,463238
C029,도경수,male,23.0,user29@gmail.com,01073162852,2021.07.16,서울시,249331
C030,차은우,여,39.0,없음,01051756348,2021-07-23,부산광역시,218483
C031,안효섭,남,28.0,user31@gmail.com,,2021/07/30,부산,
C032,김세정,남자,33.0,user32@gmail.com,010 4486 4584,2021/08/06,부산,"270,030"
C033,황민현,F,50.0,user33@gmail.com,010-9053-4330,13-08-2021,부산광역시,142436
C034,이도현,남,26.0,,01091208114,2021-08-20,대구,212200
C035,노윤서,여자,23.0,없음,010.6063.9549,2021-08-27,서울,456008
C036,고민시,남,-5.0,,01016675468,03-09-2021,부산광역시,
C037,문가영,남,46.0,user37@naver.com,01078194719,2021-09-10,경기,"314,927"
C038,송강,남자,20.0,user38@gmail.com,010-1539-5964,17-09-2021,대구,"129,682"
C039,김혜윤,남자,37.0,user39@naver.com,010 4775 7042,2021-09-24,,196501
C040,조보아,여자,53.0,user40@naver.com,01083126320,2021/10/01,서울,377080
C041,이재욱,M,36.0,user41@naver.com,01088913779,08-10-2021,경기,137303
C042,한소희,여 ,43.0,user42@gmail.com,010-2581-8714,2021-10-15,,381244
C043,차주영,남자,20.0,없음,,2021/10/22,경기,
C044,고윤정,여,36.0,,,2021-10-29,경기,143753
C045,김지원,F,37.0,user45@gmail.com,010-8409-8418,2021-11-05,경기,263240
C046,변우석,여,49.0,user46@gmail.com,010-2015-3193,2021년 11월 12일,부산,-50000
C047,류수영,여,24.0,,01084495158,2021/11/19,seould,262180
C048,엄정화,남,58.0,user48@naver.com,010.7970.7938,,부산,42977
C049,신민아,남,50.0,user49@gmail.com,010-5000-2633,2021-12-03,대구,127286
C050,원빈,여 ,57.0,user50@naver.com,010-9702-1384,10-12-2021,서울시,175248
C051,장원영,female,0.0,user51@naver.com,010-3000-6989,2021.12.17,대구,192556
C052,카리나,여자,35.0,user52@gmail.com,,24-12-2021,서울,262067원
C053,윈터,여,57.0,user53@naver.com,01058095178,2021/12/31,경기,217770
C054,지수,남,18.0,,010-8245-7600,2022/01/07,경기,
C055,제니,남,28.0,user55@gmail.com,01057801716,2022/01/14,인천,238019
C056,로제,여,45.0,user56@gmail.com,,2022년 01월 21일,인천,261058
C057,리사,남자,42.0,user57@gmail.com,010-4419-8239,2022.01.28,서울 ,255979
C058,아이유,M,40.0,user58@naver.com,010.1249.9865,2022년 02월 04일,경기,308078
C059,수지,여자,48.0,,010-1770-5363,2022-02-11,부산,
C060,설현,여,,,010-9427-9580,2022.02.18,대전,245918원
C061,유인나,여 ,59.0,user61@naver.com,010-5858-7544,2022년 02월 25일,인천,
C062,박민영,M,52.0,user62@gmail.com,010 4374 2252,2022-03-04, 경기,33903원
C063,김고은,남자,24.0,user63@naver.com,010-5673-5530,2022-03-11,대구,242961
C064,한효주,여자,33.0,user64@naver.com,010 7881 7949,2022.03.18,경기,220768
C065,손예진,여,43.0,,010.9017.7941,25-03-2022,광주,"227,157"
C066,공승연,남,19.0,user66@naver.com,010.2331.5261,2022.04.01,부산,72325
C067,김다미,여,18.0,user67@gmail.com,010 6115 5637,2022-04-08,대구,91894
C068,전소니,F,29.0,user68@gmail.com,,2022.04.15,부산,305315
C069,문소리,남,22.0,user69@naver.com,010-1137-7327,2022-04-22,부산,196044
C070,이정은,남,54.0,user70@gmail.com,010-3832-4579,2022-04-29,서울 ,268150원
C071,배두나,남,,user71@gmail.com,010.5164.8941,2022-05-06,서울,202831
C072,전도연,남,26.0,user72@naver.com,010 5300 7269,2022.05.13,경기,202975
C073,김선영,female,58.0,user73@naver.com,010-2906-7254,20-05-2022,서울,293828
C074,이유미,M,,user74@gmail.com,010.8350.7238,27-05-2022,,148395원
C075,정호연,여,36.0,,010-7031-8687,2022/06/03,경기,209612
C076,김태리,남,33.0,user76@naver.com,010.9472.2887,2022년 06월 10일,서울시,
C077,한지민,여,20.0,user77@naver.com,010-5188-1671,2022/06/17,부산,
C078,임수정,여,37.0,user78@gmail.com,010-7777-8570,,서울 ,169082
C079,김향기,남,,user79@gmail.com,010-6585-5777,2022/07/01,seould,222213
C080,박은빈,여,50.0,user80@naver.com,,2022/07/08, 경기,152125
C053,윈터,여,57.0,user53@naver.com,01058095178,2021/12/31,경기,217770
C075,정호연,여,36.0,,010-7031-8687,2022/06/03,경기,209612
C020,전지현,남,23.0,,010-4141-8419,2021년 05월 14일,경기,124461
C049,신민아,남,50.0,user49@gmail.com,010-5000-2633,2021-12-03,대구,127286
C054,지수,남,18.0,,010-8245-7600,2022/01/07,경기,
C004,최지은,M,20.0,changed@email.com,010-5360-3502,2021-01-22,서울,102162
